variant,family,condition,successes,n,rate,status,missing_episodes
perceptual-tokendrop-context,MoveCube,k7,16,50,0.32,complete,
perceptual-tokendrop-context,RouteStick,no-history,0,50,0.0,complete,
perceptual-tokendrop-context,RouteStick,k0,9,50,0.18,complete,
perceptual-tokendrop-context,RouteStick,k1,4,50,0.08,complete,
perceptual-tokendrop-context,RouteStick,k3,3,50,0.06,complete,
perceptual-tokendrop-context,RouteStick,k7,0,50,0.0,complete,
perceptual-tokendrop-context,VideoUnmask,no-history,18,50,0.36,complete,
perceptual-tokendrop-context,VideoUnmask,k0,18,50,0.36,complete,
perceptual-tokendrop-context,VideoUnmask,k1,17,50,0.34,complete,
perceptual-tokendrop-context,VideoUnmask,k3,15,50,0.3,complete,
perceptual-tokendrop-context,VideoUnmask,k7,15,50,0.3,complete,
perceptual-tokendrop-context,VideoUnmaskSwap,no-history,11,50,0.22,complete,
perceptual-tokendrop-context,VideoUnmaskSwap,k0,10,50,0.2,complete,
perceptual-tokendrop-context,VideoUnmaskSwap,k1,15,50,0.3,complete,
perceptual-tokendrop-context,VideoUnmaskSwap,k3,12,50,0.24,complete,
perceptual-tokendrop-context,VideoUnmaskSwap,k7,14,50,0.28,complete,
perceptual-tokendrop-context,VideoRepick,no-history,4,50,0.08,complete,
perceptual-tokendrop-context,VideoRepick,k0,8,50,0.16,complete,
perceptual-tokendrop-context,VideoRepick,k1,8,50,0.16,complete,
perceptual-tokendrop-context,VideoRepick,k3,3,50,0.06,complete,
perceptual-tokendrop-context,VideoRepick,k7,1,50,0.02,complete,
perceptual-tokendrop-context,VideoPlaceButton,no-history,8,50,0.16,complete,
perceptual-tokendrop-context,VideoPlaceButton,k0,9,50,0.18,complete,
perceptual-tokendrop-context,VideoPlaceButton,k1,10,50,0.2,complete,
perceptual-tokendrop-context,VideoPlaceButton,k3,9,50,0.18,complete,
perceptual-tokendrop-context,VideoPlaceButton,k7,5,50,0.1,complete,
perceptual-tokendrop-context,VideoPlaceOrder,no-history,0,50,0.0,complete,
perceptual-tokendrop-context,VideoPlaceOrder,k0,2,50,0.04,complete,
perceptual-tokendrop-context,VideoPlaceOrder,k1,3,50,0.06,complete,
